               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.038203,           0.0096145,                   0,             0.59916,             0.52554,             0.51356,              0.2951,            0.044806,           0.0056433,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.038181,           0.0095503,                   0,             0.62561,             0.53306,              0.5246,              0.3039,            0.044487,           0.0055908,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.038032,           0.0097262,                   0,              0.6118,             0.53306,             0.51958,             0.30017,            0.044391,           0.0056758,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.037836,           0.0093941,                   0,              0.6037,              0.5379,             0.52111,             0.30115,            0.044536,             0.00563,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.037845,            0.009665,                   0,             0.60249,              0.5414,             0.51899,             0.30481,            0.043991,           0.0056496,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.037377,           0.0095912,                   0,             0.61217,             0.52912,             0.51613,             0.30301,            0.043761,           0.0056209,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.037605,           0.0093137,                   0,             0.61324,             0.53576,             0.51625,             0.30366,            0.044067,           0.0056239,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.037408,           0.0094198,                   0,             0.59814,             0.54194,             0.51803,             0.30425,             0.04392,           0.0056164,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.037312,           0.0095201,                   0,             0.59892,             0.53737,             0.51625,             0.30165,            0.043631,           0.0056151,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.037566,           0.0093437,                   0,             0.59835,             0.54435,             0.51452,             0.30122,            0.043556,           0.0055795,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.036495,            0.009349,                   0,             0.59516,             0.53683,             0.51364,             0.30449,            0.043802,           0.0055614,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.036884,           0.0096176,                   0,             0.59395,             0.54059,             0.51702,             0.30513,            0.044023,           0.0055794,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.03626,           0.0092177,                   0,             0.59845,             0.52843,             0.51386,             0.30432,            0.043882,           0.0056065,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.036425,           0.0093418,                   0,             0.59879,             0.52581,             0.51106,             0.30281,            0.044106,           0.0056016,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.035994,           0.0092527,                   0,             0.60327,             0.52957,             0.51613,             0.30611,            0.043867,           0.0055994,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.036147,           0.0092286,                   0,             0.60198,             0.54059,             0.51959,             0.30342,             0.04386,           0.0056339,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.036256,           0.0090398,                   0,             0.60451,             0.54328,              0.5229,             0.30808,            0.043379,           0.0056135,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.035784,           0.0091684,                   0,             0.60464,             0.53978,             0.52715,             0.31171,            0.043705,           0.0055723,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.035497,           0.0090582,                   0,             0.60506,              0.5379,              0.5258,             0.30987,             0.04391,           0.0055529,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.035425,           0.0089843,                   0,             0.59354,             0.53978,             0.52249,             0.30961,            0.043545,           0.0056185,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.035398,           0.0087891,                   0,             0.59369,             0.53978,             0.52289,             0.30775,            0.043668,           0.0056346,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.035279,           0.0090648,                   0,             0.59588,             0.53898,             0.51996,             0.30471,            0.043667,           0.0056191,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.034891,           0.0089488,                   0,             0.58799,             0.54208,             0.51938,             0.30401,            0.043388,           0.0056331,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.034671,           0.0089022,                   0,             0.59691,             0.53819,             0.52397,             0.30798,            0.043627,           0.0056068,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.035124,           0.0088228,                   0,             0.59978,             0.53817,             0.52604,             0.30708,            0.043833,            0.005586,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.034862,           0.0089059,                   0,             0.59115,             0.53716,             0.52244,             0.30614,            0.043912,           0.0055982,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.034178,           0.0088926,                   0,             0.58835,             0.54113,               0.519,             0.30553,            0.043996,           0.0056324,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.034384,           0.0089054,                   0,             0.59286,             0.53629,             0.51804,             0.30601,            0.044089,           0.0056704,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.034062,           0.0087035,                   0,             0.59302,             0.53468,             0.52021,             0.30644,            0.044214,           0.0056955,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.034076,           0.0088078,                   0,             0.59241,             0.53871,             0.51869,             0.30671,            0.043992,           0.0056978,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.033515,           0.0086006,                   0,             0.58798,             0.53978,             0.51724,             0.30603,            0.044117,            0.005687,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.033832,           0.0086688,                   0,             0.58576,             0.53826,             0.51649,             0.30509,            0.044057,           0.0057187,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.03304,           0.0085672,                   0,             0.58842,             0.53737,             0.51751,             0.30519,            0.043933,           0.0057349,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.033486,           0.0086707,                   0,             0.58169,             0.54128,             0.51761,             0.30699,            0.043898,           0.0057227,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.033463,            0.008592,                   0,             0.58715,              0.5414,             0.51829,             0.30735,             0.04387,            0.005711,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.032637,            0.008505,                   0,             0.58656,             0.53774,             0.51799,             0.30767,            0.044006,           0.0057131,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.032688,           0.0085486,                   0,             0.59015,             0.53763,             0.51763,             0.30781,            0.043879,           0.0057045,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.032382,           0.0084527,                   0,             0.59258,              0.5336,             0.51653,             0.30784,            0.044046,           0.0057079,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.032429,            0.008391,                   0,             0.58145,             0.54224,              0.5186,              0.3081,            0.044138,           0.0057095,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.032048,           0.0083851,                   0,             0.58307,             0.54328,             0.51766,             0.30717,            0.044203,           0.0057279,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.032195,           0.0083602,                   0,             0.58529,             0.53952,             0.51665,             0.30752,            0.044235,            0.005748,                   0,            0.002377,            0.002377,            0.002377
