                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3143,                 1.0446,                 1.2992,                0.55997,                 0.4957,                0.48345,                0.28823,                 1.6568,                 1.2628,                 1.4471,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.3085,                 1.0349,                 1.2948,                0.54081,                0.48038,                0.47768,                0.28369,                  1.669,                  1.272,                 1.4546,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2982,                 1.0349,                 1.2992,                0.58679,                0.48468,                0.48921,                 0.2919,                 1.6519,                 1.2617,                  1.447,               0.000614,               0.000614,               0.000614
                     37,                 1.3005,                 1.0293,                 1.2874,                0.56715,                0.49418,                0.48971,                0.29271,                 1.6524,                  1.244,                 1.4393,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.2939,                  1.019,                 1.2856,                0.55449,                0.49839,                0.48581,                0.28937,                   1.66,                 1.2469,                 1.4462,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.2913,                 1.0004,                 1.2709,                0.56003,                0.50081,                0.49047,                0.29508,                 1.6466,                 1.2347,                 1.4471,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2769,                0.99273,                 1.2792,                0.57273,                0.49365,                0.49497,                0.29537,                 1.6451,                 1.2237,                 1.4415,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.2613,                0.94704,                 1.2533,                0.58851,                0.48629,                0.49784,                0.29625,                 1.6346,                 1.2302,                 1.4175,               0.000416,               0.000416,               0.000416
                     42,                 1.2459,                0.93559,                 1.2535,                0.57807,                 0.4793,                0.49424,                0.29799,                 1.6169,                 1.2293,                 1.4242,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.2314,                0.91725,                 1.2417,                0.58215,                0.49586,                0.50129,                0.30267,                 1.6142,                 1.2181,                 1.4269,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.2253,                0.90746,                 1.2372,                0.57935,                0.49648,                0.50067,                0.30022,                 1.6376,                 1.2186,                 1.4319,              0.0002972,              0.0002972,              0.0002972
                     45,                  1.213,                 0.8928,                 1.2299,                0.58274,                0.49812,                0.50601,                 0.3034,                 1.6196,                 1.2032,                 1.4232,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1994,                0.87816,                 1.2192,                0.58098,                0.49543,                0.50229,                0.30302,                 1.6248,                 1.2063,                 1.4227,               0.000218,               0.000218,               0.000218
                     47,                 1.1983,                  0.872,                 1.2148,                0.58472,                0.49622,                0.50395,                0.30559,                 1.6171,                 1.1999,                 1.4192,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.1894,                0.86737,                 1.2115,                0.57775,                0.50242,                0.50453,                0.30621,                 1.6124,                    1.2,                 1.4178,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1839,                0.86552,                 1.2043,                0.57906,                0.50511,                0.50512,                0.30615,                 1.6141,                 1.2002,                 1.4191,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  1.174,                0.84626,                 1.2012,                0.58049,                0.50968,                0.50683,                0.30734,                 1.6167,                  1.195,                 1.4215,               5.96e-05,               5.96e-05,               5.96e-05
